tree_size,kv_len,bsz,verifiertime_ms,verifiertime_std_ms,attn_implementation,model_name
64,1024,1,102.121205800795,0.3548133586243494,flex_attention,qwen/qwen3-14b
64,2048,1,102.10037199343788,0.3691821923105906,flex_attention,qwen/qwen3-14b
128,512,1,102.49181000195676,0.626408676310129,flex_attention,qwen/qwen3-14b
128,1024,1,102.5184583288501,0.4919494930364966,flex_attention,qwen/qwen3-14b
128,2048,1,102.5454964482924,0.2691206205008162,flex_attention,qwen/qwen3-14b
16,512,2,107.29048276145477,36.37905411178604,flex_attention,qwen/qwen3-14b
16,1024,2,103.32933281140868,0.5370924523419859,flex_attention,qwen/qwen3-14b
16,2048,2,103.22302012093132,0.3458385043338743,flex_attention,qwen/qwen3-14b
24,512,2,102.8980952614802,0.43658030710911055,flex_attention,qwen/qwen3-14b
24,1024,2,102.46778921864461,0.3986610646720396,flex_attention,qwen/qwen3-14b
24,2048,2,101.0224250794272,0.6416291682283198,flex_attention,qwen/qwen3-14b
32,512,2,101.83542588958517,0.6089761629586237,flex_attention,qwen/qwen3-14b
32,1024,2,106.39907971024513,38.92948604924459,flex_attention,qwen/qwen3-14b
32,2048,2,102.42148348072078,1.2336850413974403,flex_attention,qwen/qwen3-14b
64,512,2,101.03448040114017,0.6648264598137679,flex_attention,qwen/qwen3-14b
64,1024,2,100.86683825880755,0.34007302614062024,flex_attention,qwen/qwen3-14b
64,2048,2,103.88819063984556,0.3929647685822049,flex_attention,qwen/qwen3-14b
128,512,2,103.55286970909219,1.1531580113965592,flex_attention,qwen/qwen3-14b
128,1024,2,110.27500462107128,0.3347947085076237,flex_attention,qwen/qwen3-14b
128,2048,2,155.17481018963736,52.414330107035006,flex_attention,qwen/qwen3-14b
16,512,4,102.73850092082284,0.4990150903925448,flex_attention,qwen/qwen3-14b
16,1024,4,102.86306355032139,0.3548182272239715,flex_attention,qwen/qwen3-14b
16,2048,4,110.72999178169994,0.3139433496272705,flex_attention,qwen/qwen3-14b
24,512,4,103.67667716811411,0.36457609271995706,flex_attention,qwen/qwen3-14b
24,1024,4,103.42972576036118,1.1576530809615324,flex_attention,qwen/qwen3-14b
24,2048,4,125.0371196406195,0.3399875019653765,flex_attention,qwen/qwen3-14b
32,512,4,103.08500502258539,0.333394896879581,flex_attention,qwen/qwen3-14b
32,1024,4,107.07528494036524,36.30206255185517,flex_attention,qwen/qwen3-14b
32,2048,4,132.5589735910762,0.2830663592836935,flex_attention,qwen/qwen3-14b
64,512,4,102.11444479151396,1.2795435783161317,flex_attention,qwen/qwen3-14b
64,1024,4,124.14587317965925,0.46535924720770694,flex_attention,qwen/qwen3-14b
64,2048,4,179.26691848027986,0.27566464181409656,flex_attention,qwen/qwen3-14b
128,512,4,149.07282147934893,0.5198198281844839,flex_attention,qwen/qwen3-14b
128,1024,4,186.39346135780215,0.5536598051889804,flex_attention,qwen/qwen3-14b
128,2048,4,266.75970229844097,0.6085153947438294,flex_attention,qwen/qwen3-14b
16,512,8,103.29474318015855,0.3430528689553973,flex_attention,qwen/qwen3-14b
16,1024,8,119.85731960070552,36.71899693482735,flex_attention,qwen/qwen3-14b
16,2048,8,185.51598202000605,0.39713399025650825,flex_attention,qwen/qwen3-14b
24,512,8,109.59035569860134,0.5467345342586788,flex_attention,qwen/qwen3-14b
24,1024,8,143.9341254089959,0.3118949113320232,flex_attention,qwen/qwen3-14b
24,2048,8,224.38183167978423,0.31432309451462964,flex_attention,qwen/qwen3-14b
32,512,8,113.0058061183081,0.35710406841617964,flex_attention,qwen/qwen3-14b
32,1024,8,154.1445944388397,0.39032300051367275,flex_attention,qwen/qwen3-14b
32,2048,8,239.99065741838422,0.40969690715360446,flex_attention,qwen/qwen3-14b
64,512,8,162.14379375014687,0.5503511541893842,flex_attention,qwen/qwen3-14b
64,1024,8,223.17940636130515,88.08891643835837,flex_attention,qwen/qwen3-14b
64,2048,8,323.6231647909153,0.39535475380289486,flex_attention,qwen/qwen3-14b
128,512,8,279.6493731191731,1.480607289854989,flex_attention,qwen/qwen3-14b
128,1024,8,353.8507653505076,0.8248450137561554,flex_attention,qwen/qwen3-14b
128,2048,8,513.5750609292882,0.7025862273724797,flex_attention,qwen/qwen3-14b
16,512,16,136.32815680030035,0.2156502928533477,flex_attention,qwen/qwen3-14b
16,1024,16,206.3057758496143,0.3171185240020857,flex_attention,qwen/qwen3-14b
16,2048,16,346.22275497065857,0.49891367947709847,flex_attention,qwen/qwen3-14b
24,512,16,166.7634471785277,0.5352380271486503,flex_attention,qwen/qwen3-14b
24,1024,16,243.9412946513039,0.5932007790968151,flex_attention,qwen/qwen3-14b
24,2048,16,405.4563384503126,38.819389511029385,flex_attention,qwen/qwen3-14b
